,Id,AcceptedAnswerId,ViewCount,AnswerCount
0,1,2,520,1
1,3,9,737,3
2,5,208,29561,7
3,6,654,2243,2
4,8,442,286,1
5,10,11,2359,1
6,12,18,382,2
7,16,17,126,1
8,24,25,176,1
9,27,31,862,2
10,29,,330,2
11,33,852,34196,5
12,34,91,499,1
13,35,43,52022,2
14,36,40,83513,2
15,37,39,1241,1
16,41,42,259,2
17,46,130,348,2
18,47,292,2031,1
19,48,49,207,2
20,50,51,941,3
21,60,,558,2
22,74,75,15354,3
23,77,,78,1
24,81,,1441,2
25,87,104,3046,4
26,89,,1583,5
27,90,94,36320,4
28,101,127,12309,4
29,103,105,22238,12
30,110,111,10757,1
31,118,119,66,1
32,121,122,7314,4
33,123,,1608,3
34,129,192,7313,4
35,136,137,6507,2
36,139,140,257,1
37,141,237,93,1
38,142,151,108163,6
39,145,154,15432,4
40,146,147,1120,1
41,155,20565,137,1
42,161,162,15823,4
43,168,169,2052,2
44,170,171,2901,2
45,174,,108,1
46,175,,335,2
47,178,179,8487,2
48,187,,1316,2
49,190,1507,351,1
50,191,194,7400,2
51,195,,113,1
52,197,,6004,12
53,198,,1307,2
54,206,207,1030,3
55,221,247,176,1
56,222,223,147,1
57,224,313,1075,1
58,225,226,173966,12
59,227,229,593,3
60,228,231,8803,3
61,235,815,452,3
62,238,243,308,1
63,245,246,122688,5
64,250,252,978,2
65,254,294,365,1
66,256,257,4346,2
67,262,266,1333,2
68,267,270,764,2
69,269,277,198,2
70,272,275,984,2
71,274,284,890,3
72,278,288,667,2
73,285,286,5452,1
74,287,978,228,1
75,289,637,3629,1
76,298,299,19923,3
77,301,307,131,2
78,302,598,839,2
79,303,349,138,1
80,314,315,8238,6
81,316,318,32206,6
82,319,323,12643,7
83,329,330,306,1
84,331,402,71903,8
85,336,344,860,2
86,338,339,1941,6
87,340,346,1111,1
88,342,348,2594,3
89,350,358,16302,8
90,352,438,2304,4
91,366,367,715,2
92,368,738,1035,2
93,370,371,1902,1
94,372,374,24265,3
95,375,,903,0
96,376,382,34063,7
97,380,,1110,1
98,383,412,82292,4
99,387,420,1273,2
100,394,395,404,3
101,397,400,11962,4
102,401,,141,1
103,403,1181,216,3
104,407,410,1718,1
105,411,,132,1
106,414,416,130,1
107,415,418,13522,2
108,417,423,10043,2
109,425,426,598,6
110,433,434,454,1
111,435,,416,1
112,436,437,139,1
113,444,2322,349,1
114,445,446,103006,5
115,447,459,1855,1
116,450,454,5360,9
117,456,458,640,1
118,460,,33860,4
119,462,,1261,3
120,464,470,3869,3
121,468,469,18161,2
122,475,491,1563,1
123,476,492,4021,4
124,477,,13331,3
125,483,,699,1
126,486,,1931,4
127,489,,185,1
128,502,1137,309,1
129,505,506,1674,1
130,510,511,111,1
131,512,513,25754,4
132,515,,1284,3
133,540,543,1399,3
134,541,556,9866,4
135,546,547,7681,2
136,552,,369,3
137,557,,5720,2
138,560,593,635,3
139,563,595,1073,1
140,564,572,318,3
141,565,604,281,2
142,568,569,27075,1
143,571,,702,2
144,574,576,528,1
145,575,587,178,2
146,588,591,320,1
147,600,601,394,1
148,602,,428,1
149,603,,115,1
150,607,608,2862,8
151,610,,610,4
152,614,620,123,1
153,618,623,562,2
154,621,622,66357,3
155,624,,10957,3
156,632,948,216,2
157,633,,810,2
158,636,800,339,1
159,648,660,324,2
160,663,664,11730,3
161,731,734,119,2
162,735,4136,888,2
163,739,746,8644,3
164,752,755,4072,2
165,753,754,395,1
166,756,,145,1
167,759,760,183,1
168,762,,15190,2
169,763,11509,30670,4
170,764,,1630,5
171,774,777,1804,6
172,776,,139,2
173,780,781,1358,2
174,782,783,2210,1
175,784,792,30022,4
176,788,790,91,2
177,793,944,7642,3
178,794,,398,1
179,803,804,468,6
180,807,808,38213,5
181,818,819,591,1
182,821,,12578,1
183,836,840,143,2
184,841,,1451,2
185,845,846,496,1
186,850,851,92,1
187,853,963,1488,2
188,854,913,958,2
189,855,858,4208,2
190,870,,1760,1
191,871,1036,1118,4
192,873,879,11632,2
