,Tags,Id
0,.net,1
1,asp.net-web-api,1
2,asp.net,1
3,delphi,3
4,c++,5
5,string,5
6,c++,6
7,casting,6
8,google-maps,8
9,angularjs,8
10,jasmine,8
11,karma-jasmine,8
12,typescript,10
13,array,12
14,perl,12
15,ios,16
16,xcode,16
17,lista,24
18,elixir,24
19,ruby-on-rails,27
20,ruby,27
21,vistas,27
22,javascript,33
23,jquery,33
24,android,34
25,arduino,34
26,socket,34
27,delphi,34
28,tcpip,34
29,mysql,35
30,datetime,35
31,timestamp,35
32,mysql,36
33,sql,36
34,join,36
35,sql,37
36,oracle,37
37,oracle-10g,37
38,asp.net,41
39,asp.net-mvc,41
40,librería,41
41,bower,41
42,c++,46
43,c++11,46
44,javascript,47
45,google-apps-script,47
46,google-hoja-de-cálculo,47
47,google-forms,47
48,google-documentos,47
49,javascript,48
50,jasmine,48
51,momentjs,48
52,api,50
53,ruby,50
54,http,50
55,post,50
56,bash,74
57,archivo,74
58,python,87
59,variables,87
60,git,90
61,git-commit,90
62,php,101
63,ajax,101
64,laravel,101
65,laravel-5,101
66,html,103
67,css,103
68,sql,110
69,oracle,110
70,archivo,118
71,fish,118
72,exists,118
73,git,121
74,bash,129
75,linux,129
76,shell,129
77,sed,129
78,awk,129
79,android,136
80,android-layout,136
81,unidades-de-medición,136
82,java,139
83,pharo,141
84,smalltalk,141
85,javascript,142
86,validación,142
87,email,142
88,regex,142
89,string,145
90,c#,145
91,c++,146
92,java,146
93,rendimiento,146
94,optimización,146
95,soap,155
96,soapui,155
97,wcf,155
98,servicio,155
99,java,161
100,try-catch,161
101,string,168
102,php,168
103,str-replace,168
104,git,170
105,git-commit,170
106,jvm,178
107,java,178
108,mysql,190
109,vagrant,190
110,puppet,190
111,git,191
112,javascript,206
113,angularjs,206
114,javascript,221
115,jquery,221
116,thymeleaf,221
117,bash,222
118,zsh,222
119,python,224
120,django,224
121,java,225
122,string,225
123,comparaciones,225
124,python,227
125,java,228
126,constructor,228
127,clase-abstracta,228
128,poo,228
129,mercurial,235
130,control-de-versiones,235
131,python,238
132,linux,238
133,pip,238
134,ubuntu,238
135,python-2.7,238
136,git,245
137,git-push,245
138,git,250
139,git-merge,250
140,c#,254
141,.net,254
142,entity-framework,254
143,asp.net-core,254
144,model-view-controller,254
145,validación,256
146,formularios,256
147,html5,256
148,git,262
149,html,267
150,css,269
151,java,272
152,c#,274
153,windows-forms,274
154,css,278
155,html5,278
156,css3,278
157,3d,278
158,importación,278
159,python,285
160,numpy,285
161,array,285
162,android,287
163,google-newsstand-producer,287
164,rss,287
165,ios,289
